"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
194,11/07/2021 06:12:21 PM,50.290,0.0,,,
195,11/07/2021 08:12:21 PM,50.643,0.0,,,
196,11/07/2021 10:12:21 PM,50.643,0.0,,,
197,11/08/2021 12:12:21 AM,50.466,0.0,,,
198,11/08/2021 02:12:21 AM,50.290,0.0,,,
199,11/08/2021 04:12:21 AM,49.404,0.0,,,
200,11/08/2021 06:12:21 AM,48.695,0.0,,,
201,11/08/2021 08:12:21 AM,47.982,0.0,,,
202,11/08/2021 10:12:21 AM,47.446,0.0,,,
203,11/08/2021 12:12:21 PM,47.266,0.0,,,
204,11/08/2021 02:12:21 PM,47.624,0.0,,,
205,11/08/2021 04:12:21 PM,48.695,0.0,,,
206,11/08/2021 06:12:21 PM,49.228,0.0,,,
207,11/08/2021 08:12:21 PM,49.404,0.0,,,
208,11/08/2021 10:12:21 PM,49.404,0.0,,,
209,11/09/2021 12:12:21 AM,49.228,0.0,,,
210,11/09/2021 02:12:21 AM,48.517,0.0,,,
211,11/09/2021 04:12:21 AM,47.982,0.0,,,
212,11/09/2021 06:12:21 AM,47.266,0.0,,,
213,11/09/2021 08:12:21 AM,46.908,0.0,,,
214,11/09/2021 10:12:21 AM,46.548,0.0,,,
215,11/09/2021 12:12:21 PM,46.369,0.0,,,
216,11/09/2021 02:12:21 PM,46.908,0.0,,,
217,11/09/2021 04:12:21 PM,47.446,0.0,,,
218,11/09/2021 06:12:21 PM,48.339,0.0,,,
219,11/09/2021 08:12:21 PM,48.339,0.0,,,
220,11/09/2021 10:12:21 PM,48.160,0.0,,,
221,11/10/2021 12:12:21 AM,47.982,0.0,,,
222,11/10/2021 02:12:21 AM,47.446,0.0,,,
223,11/10/2021 04:12:21 AM,46.908,0.0,,,
224,11/10/2021 06:12:21 AM,46.369,0.0,,,
225,11/10/2021 08:12:21 AM,46.188,0.0,,,
226,11/10/2021 10:12:21 AM,46.008,0.0,,,
227,11/10/2021 12:12:21 PM,46.008,0.0,,,
228,11/10/2021 02:12:21 PM,46.188,0.0,,,
229,11/10/2021 04:12:21 PM,46.548,0.0,,,
230,11/10/2021 06:12:21 PM,46.908,0.0,,,
231,11/10/2021 08:12:21 PM,47.088,0.0,,,
232,11/10/2021 10:12:21 PM,47.088,0.0,,,
233,11/11/2021 12:12:21 AM,46.908,0.0,,,
234,11/11/2021 02:12:21 AM,46.548,0.0,,,
235,11/11/2021 04:12:21 AM,45.828,0.0,,,
236,11/11/2021 06:12:21 AM,44.922,0.0,,,
237,11/11/2021 08:12:21 AM,44.013,0.0,,,
238,11/11/2021 10:12:21 AM,43.282,0.0,,,
239,11/11/2021 12:12:21 PM,42.732,0.0,,,
240,11/11/2021 02:12:21 PM,43.282,0.0,,,
241,11/11/2021 04:12:21 PM,43.831,0.0,,,
242,11/11/2021 06:12:21 PM,43.831,0.0,,,
243,11/11/2021 08:12:21 PM,43.466,0.0,,,
244,11/11/2021 10:12:21 PM,42.915,0.0,,,
245,11/12/2021 12:12:21 AM,41.994,0.0,,,
246,11/12/2021 02:12:21 AM,41.067,0.0,,,
247,11/12/2021 04:12:21 AM,40.134,0.0,,,
248,11/12/2021 06:12:21 AM,39.573,0.0,,,
249,11/12/2021 08:12:21 AM,38.818,0.0,,,
250,11/12/2021 10:12:21 AM,38.250,0.0,,,
251,11/12/2021 12:12:21 PM,37.679,0.0,,,
252,11/12/2021 02:12:21 PM,37.488,0.0,,,
253,11/12/2021 04:12:21 PM,37.297,0.0,,,
254,11/12/2021 06:12:21 PM,37.107,0.0,,,
255,11/12/2021 08:12:21 PM,36.914,0.0,,,
256,11/12/2021 10:12:21 PM,36.723,0.0,,,
257,11/13/2021 12:12:21 AM,36.338,0.0,,,
258,11/13/2021 02:12:21 AM,35.951,0.0,,,
259,11/13/2021 04:12:21 AM,35.564,0.0,,,
260,11/13/2021 06:12:21 AM,35.564,0.0,,,
261,11/13/2021 08:12:21 AM,35.370,0.0,,,
262,11/13/2021 10:12:21 AM,35.370,0.0,,,
263,11/13/2021 12:12:21 PM,35.370,0.0,,,
264,11/13/2021 02:12:21 PM,35.758,0.0,,,
265,11/13/2021 04:12:21 PM,36.145,0.0,,,
